address,type,rent,beds,baths,sqft,Location,Area
"Shyamoli, Dhaka",Apartment,16000.0,2 ,2 ,720 ,Dhaka,Shyamoli
"11 No. South Kattali Ward, Chattogram",Apartment,16000.0,3 ,2 ,"1,200 ",Chattogram,11 No. South Kattali Ward
"24 No. North Agrabad Ward, Double Mooring, Chattogram",Apartment,20000.0,3 ,3 ,"1,200 ",Chattogram,Double Mooring
"Block B, Future Town, Bochila, Mohammadpur, Dhaka",Apartment,13000.0,3 ,3 ,"1,350 ",Dhaka,Mohammadpur
"Nabi Nagar Housing, Mohammadpur, Dhaka",Apartment,12000.0,2 ,2 ,800 ,Dhaka,Mohammadpur
"Block B, Banasree, Dhaka",Apartment,21000.0,3 ,3 ,"1,200 ",Dhaka,Banasree
"Block K, Bashundhara R-A, Dhaka",Apartment,22000.0,2 ,2 ,"1,250 ",Dhaka,Bashundhara R-A
"North Pirerbag, Pirerbag, Mirpur, Dhaka",Apartment,25000.0,3 ,3 ,"1,300 ",Dhaka,Mirpur
"Kallyanpur, Mirpur, Dhaka",Apartment,15000.0,2 ,2 ,850 ,Dhaka,Mirpur
"Avenue 2, Mirpur DOHS, Mirpur, Dhaka",Apartment,40000.0,4 ,4 ,"2,200 ",Dhaka,Mirpur
"Block A, Nobodoy Housing Society, Mohammadpur, Dhaka",Apartment,20000.0,3 ,2 ,"1,100 ",Dhaka,Mohammadpur
"Baitul Aman Housing Society, Adabor, Dhaka",Apartment,20000.0,3 ,3 ,"1,400 ",Dhaka,Adabor
"Mohammadpur, Dhaka",Apartment,30000.0,3 ,3 ,"1,300 ",Dhaka,Mohammadpur
"Mohammadpur, Dhaka",Apartment,50000.0,3 ,3 ,"1,850 ",Dhaka,Mohammadpur
"Shahjahanpur, Dhaka",Apartment,35000.0,3 ,3 ,"1,680 ",Dhaka,Shahjahanpur
"Block A, Bashundhara R-A, Dhaka",Apartment,44000.0,3 ,4 ,"1,887 ",Dhaka,Bashundhara R-A
"Section 1, Mirpur, Dhaka",Apartment,18000.0,3 ,3 ,"1,300 ",Dhaka,Mirpur
"Nikunja 2, Nikunja, Dhaka",Apartment,20000.0,2 ,2 ,750 ,Dhaka,Nikunja
"Bangla Bazar, Bayazid, Chattogram",Apartment,18000.0,3 ,3 ,"1,400 ",Chattogram,Bayazid
"Sector 9, Uttara, Dhaka",Apartment,33000.0,3 ,3 ,"1,400 ",Dhaka,Uttara
